"model","scenario","variable","SDP","relative_change_iam_variable_pc","total_atkinson_utility_change","global_gini","global_avg_deprivation","global_avg_surplus","AggUtilitarian","Prioritarian","Egalitarian","Sufficientarian","Limitarian"
"GCAM 5.3","SSP1-DACCS-2p6-3pctHR","Final_Energy_Transportation","RC",0.823433845170826,-1.1656082102018,0.356004732539589,0,5.11834196035546,"no","no","no","yes","no"
"GCAM 5.3","SSP1-highcostDACCS-2p6-3pctHR","Final_Energy_Transportation","RC",0.819242856951912,-1.21401677559984,0.356406852348454,0,5.02811607634428,"no","no","no","yes","no"
"GCAM 5.3","SSP1-lowcostDACCS-2p6-3pctHR","Final_Energy_Transportation","RC",0.82976128623676,-1.10030818642833,0.355624673435557,0,5.28274211162732,"no","no","no","yes","no"
"GCAM 5.3","SSP1-noDACCS-1p9-3pctHR","Final_Energy_Transportation","RC",0.772274404736253,-1.73000137099782,0.36069097589534,0,3.91722854296154,"no","no","no","yes","no"
"GCAM 5.3","SSP1-noDACCS-2p6-3pctHR","Final_Energy_Transportation","RC",0.821353740261546,-1.18811468309929,0.356156376509038,0,5.06834696573898,"no","no","no","yes","no"
"GCAM 5.3","SSP2-DACCS-2p6-3pctHR","Final_Energy_Transportation","RC",0.907519464791877,0.00691342558172181,0.367177213738836,0,7.05633348786882,"no","yes","no","yes","no"
"GCAM 5.3","SSP2-noDACCS-2p6-3pctHR","Final_Energy_Transportation","RC",0.900791115869275,-0.0523721854759494,0.363040602550832,0,6.84176472080285,"no","no","no","yes","no"
"GCAM 5.3","SSP4-DACCS-1p9-3pctHR","Final_Energy_Transportation","RC",1.01805936144818,1.19222840196549,0.436877965071603,0,9.45888381800877,"no","yes","no","yes","no"
"GCAM 5.3","SSP4-DACCS-2p6-3pctHR","Final_Energy_Transportation","RC",1.03707901481305,1.36677422015994,0.436032349144441,0,9.99327959690147,"no","yes","no","yes","no"
"GCAM 5.3","SSP4-highcostDACCS-2p6-3pctHR","Final_Energy_Transportation","RC",1.02078147330227,1.21637278309101,0.436893506394715,0,9.53863755697135,"no","yes","no","yes","no"
"GCAM 5.3","SSP4-medcostDACCS-2p6-3pctHR","Final_Energy_Transportation","RC",1.0265779380139,1.26978298761424,0.436592113487679,0,9.69919009662721,"no","yes","no","yes","no"
"GCAM 5.3","SSP4-noDACCS-1p9-3pctHR","Final_Energy_Transportation","RC",0.988340460051603,0.930471464506684,0.437747723740072,0,8.60616233487654,"no","yes","no","yes","no"
"GCAM 5.3","SSP4-noDACCS-2p6-3pctHR","Final_Energy_Transportation","RC",1.02124724770438,1.22341547825341,0.436906146699572,0,9.53655829963333,"no","yes","no","yes","no"
"GCAM 5.3","SSP5-DACCS-1p9-3pctHR","Final_Energy_Transportation","RC",1.34336729862586,3.15707382118988,0.346723568034041,0,8.54108457606121,"yes","yes","yes","yes","no"
"GCAM 5.3","SSP5-DACCS-2p6-3pctHR","Final_Energy_Transportation","RC",1.37499235158211,3.37403300668527,0.345807999431775,0,9.1438743883473,"yes","yes","yes","yes","no"
"GCAM 5.3","SSP5-noDACCS-2p6-3pctHR","Final_Energy_Transportation","RC",1.31487969052714,2.96367026530505,0.348438716832606,0,7.99894888711596,"yes","yes","yes","yes","no"
"GCAM 5.3","SSP_SSP1","Final_Energy_Transportation","RC",1.02031533049248,0.980363596583526,0.35188083588484,0,5.05482362261455,"no","yes","no","yes","no"
