model,scenario,primary_energy_change,renewables_vs_fossil,Renewables,CDR,Demand,Other,IMP_count
COFFEE 1.1,EN_INDCi2100,97.56225191571627,-408.77964145721,False,True,False,False,1
COFFEE 1.1,EN_INDCi2100_COV_NDCp,67.52378788335386,-358.90616775720224,False,True,False,False,1
COFFEE 1.1,EN_INDCi2100_NDCp,88.8553435986463,-379.1436987453136,False,True,False,False,1
COFFEE 1.1,EN_NPi2020_1000,103.8132920851532,-106.90228482922879,False,True,False,False,1
COFFEE 1.1,EN_NPi2020_1000_COV,75.74048706635085,-139.9140861074259,False,True,False,False,1
COFFEE 1.1,EN_NPi2020_1000f,83.23466513023345,-265.3514394260641,False,True,False,False,1
COFFEE 1.1,EN_NPi2020_1000f_COV,58.52701610244583,-283.83277557838113,False,True,False,False,1
COFFEE 1.1,EN_NPi2020_1200,88.06586732800986,-212.25258598047589,False,True,False,False,1
COFFEE 1.1,EN_NPi2020_1200f,84.95270485064191,-306.4404753108499,False,True,False,False,1
COFFEE 1.1,EN_NPi2020_1400,81.67380566094585,-276.07865752535525,False,True,False,False,1
COFFEE 1.1,EN_NPi2020_1400f,88.59856166304849,-348.24116730061934,False,True,False,False,1
COFFEE 1.1,EN_NPi2020_1600,86.82446878975543,-338.08419058437653,False,True,False,False,1
COFFEE 1.1,EN_NPi2020_1600f,91.27199227269728,-371.27281327978335,False,True,False,False,1
COFFEE 1.1,EN_NPi2020_1800,91.56166964512238,-375.41542367342,False,True,False,False,1
COFFEE 1.1,EN_NPi2020_1800f,94.75152609570341,-389.2878537862768,False,True,False,False,1
COFFEE 1.1,EN_NPi2020_2000,95.08822774636292,-402.0685166732643,False,True,False,False,1
COFFEE 1.1,EN_NPi2020_2000f,96.02990507503443,-407.8353770015071,False,True,False,False,1
COFFEE 1.1,EN_NPi2020_2500,98.89246356389106,-425.21357818223845,False,True,False,False,1
COFFEE 1.1,EN_NPi2020_2500f,98.89246359161109,-425.2135782099586,False,True,False,False,1
COFFEE 1.1,EN_NPi2020_400,100.13712718912711,272.37833003875204,True,False,False,False,1
COFFEE 1.1,EN_NPi2020_400_lowBECCS,87.42990899430879,295.4065837696143,True,False,False,False,1
COFFEE 1.1,EN_NPi2020_400f,106.2643454267137,-50.9216121018938,False,True,False,False,1
COFFEE 1.1,EN_NPi2020_400f_lowBECCS,104.51338871944733,40.99132899261883,True,False,False,False,1
COFFEE 1.1,EN_NPi2020_500,102.42978077178805,226.60304773948033,True,False,False,False,1
COFFEE 1.1,EN_NPi2020_500f,105.20499499009804,-82.66742476046966,False,True,False,False,1
COFFEE 1.1,EN_NPi2020_600,109.29218300036166,148.484666512026,True,False,False,False,1
COFFEE 1.1,EN_NPi2020_600_COV,91.9865316897517,118.56712640934342,True,False,False,False,1
COFFEE 1.1,EN_NPi2020_600f,100.18874288284849,-127.15400436304972,False,True,False,False,1
COFFEE 1.1,EN_NPi2020_600f_COV,64.94362282100076,-179.11628651446287,False,True,False,False,1
COFFEE 1.1,EN_NPi2020_700,111.81727021130882,71.13180304988612,True,False,False,False,1
COFFEE 1.1,EN_NPi2020_700f,95.08298762438153,-169.23911324264338,False,True,False,False,1
COFFEE 1.1,EN_NPi2020_800,113.31801883256651,2.255170521289358,True,False,False,False,1
COFFEE 1.1,EN_NPi2020_800f,86.44921298908378,-209.6604217688631,False,True,False,False,1
COFFEE 1.1,EN_NPi2020_900,108.11527569301938,-54.096702412247794,False,True,False,False,1
COFFEE 1.1,EN_NPi2020_900f,84.01107791214645,-237.2766805981976,False,True,False,False,1
